lat,lon,municipio
-22.83177262622922,-45.69805002223515,Santo Antônio do Pinhal
-23.95124532789187,-46.23521408387854,Guarujá
-16.375773322305182,-46.81955829514257,Unaí
-26.169921283652815,-50.255230158088565,Três Barras
-27.02523498701673,-51.917948144688985,Irani
-12.741467103901451,-38.64225862792568,Madre de Deus
1.03557403958328,-50.48707711373235,Cutias
-29.312166043459747,-52.92963011824151,Segredo
-6.560229767929341,-38.26823582341545,Vieirópolis
-13.144903436498964,-50.24938975439806,São Miguel do Araguaia
-18.159125137480597,-41.84620685955716,Itambacuri
-4.401730357087526,-38.11290699803491,Beberibe
-27.48745953442282,-54.136632529975884,Crissiumal
-6.472653831189589,-47.75110292739832,Santa Terezinha do Tocantins
-7.086601524280414,-37.745044799483,Emas
-29.38604695710075,-50.89686595616746,Gramado
-15.158180966028478,-40.46223500529458,Itambé
-11.056724176987839,-39.75245186022599,Queimadas
-28.963403263182812,-51.55156861066346,Veranópolis
-23.562115421766272,-49.93190052465916,Quatiguá
-7.405064560666361,-35.647139970563636,Itatuba
-6.554378007308086,-35.42724897596225,Logradouro
-21.73885620201775,-44.26970225428515,Andrelândia
-11.379927969981305,-42.10398785908422,Uibaí
-3.951121288214346,-41.006203795082484,Ibiapina
-25.664461512104545,-49.09492547459301,São José dos Pinhais
-10.851117655051471,-36.96940615782938,Barra dos Coqueiros
-17.085948417885994,-49.75625923426521,Cezarina
-19.80589194314127,-54.305751499586854,Bandeirantes
-10.251062587360542,-40.728936454550556,Campo Formoso
-28.35313461026387,-49.168162306393036,São Ludgero
-20.748495745560014,-45.279578271246805,Candeias
-23.160881147828174,-50.34644368889471,Bandeirantes
-6.749951945809039,-44.04004838334896,Nova Iorque
-18.048522125701606,-41.29631937708783,Ouro Verde de Minas
-12.046428568309459,-38.75389483131014,Irará
